year,month,rain,press,RH,temp,wind
2012,4,2.973947191,1010.447693,88.92110958,32.13184138,26.16231327
2012,5,9.057018612,1006.971104,91.49839445,31.87552921,26.71337247
2012,6,5.265931285,1005.756392,89.20683771,31.30569732,27.52668009
2012,7,8.403735876,1006.259486,91.24175666,30.91564006,26.46194438
2012,8,8.0902862,1006.944483,91.53944446,30.48111401,27.08718181
2012,9,7.378873582,1009.651151,94.33734517,30.52874375,27.00188219
2012,10,1.877323342,1012.572698,91.47361277,30.81386398,25.9927378
2012,11,0.597933761,1012.673924,90.70774313,30.85665797,25.31647083
2012,12,0.381819871,1014.105433,88.66902306,29.95410432,23.77564224
2013,1,0.196105058,1016.374872,86.83542177,28.17952718,21.92283772
2013,2,0.052005639,1014.053464,83.53033632,31.28449008,24.24877249
2013,3,0.965120929,1012.181677,81.51888354,33.14632741,26.13463899
2013,4,2.061711711,1009.944267,83.27192002,33.8038487,27.33730783
2013,5,5.233423629,1008.902349,90.48655274,32.73630075,26.97823587
2013,6,7.450968798,1006.587027,91.32818447,31.63623678,27.29661356
2013,7,11.89901799,1006.672589,93.77367323,30.84525123,26.7900049
2013,8,7.016771627,1007.172117,93.23059363,30.71377998,28.46737975
2013,9,10.75376514,1008.94659,95.77446891,30.18091798,28.13159079
2013,10,2.057562422,1013.119611,91.79620441,30.10866213,27.52585275
2013,11,0.257088759,1014.193462,89.95227789,29.89149889,26.57218069
2013,12,0.425312684,1017.333349,89.92700341,25.77609291,21.66790404
2014,1,0.033830603,1018.785861,88.76139732,26.74750814,21.18394517
2014,2,1.07193047,1013.988811,86.07472302,29.68808483,25.28499554
2014,3,1.045197329,1013.108624,84.61469418,32.80442488,27.43406892
2014,4,2.654039357,1011.229236,88.46961851,33.12941326,29.67675849
2014,5,4.470772142,1009.546705,90.094826,33.27889215,30.00519772
2014,6,6.0480015,1006.315323,93.07789096,32.09483673,30.23456932
2014,7,10.85228741,1006.927598,94.31308531,30.66029114,29.07638106
2014,8,8.335877746,1008.862389,94.41870018,30.75027045,31.34413421
2014,9,7.315409587,1009.731859,95.82209552,30.66313042,30.69013325
2014,10,2.466046844,1013.465255,93.26241065,30.67270109,28.38945831
2014,11,0.793224638,1014.301447,92.84872269,30.3759716,29.4754416
2014,12,0.032692082,1017.484935,86.94710135,27.888253,24.52023642
2015,1,0.211642074,1017.859527,86.18702687,27.39267166,24.62030851
2015,2,1.174613011,1016.056986,88.69156501,29.66546777,27.91353091
2015,3,0.670208908,1013.976873,86.65974051,31.90175087,27.65537344
2015,4,2.486645394,1012.074763,81.63174936,33.13889749,31.63554266
2015,5,3.224404886,1009.010861,87.60969162,33.6721955,30.48814228
2015,6,5.559421644,1008.016922,89.13533116,32.75467963,32.34124873
2015,7,8.445557445,1007.635921,91.73288785,30.86376695,30.0407641
2015,8,8.25811127,1008.386413,94.25753459,30.92242356,30.74368889
2015,9,6.784756957,1010.198326,95.60146713,30.61765361,31.14754124
2015,10,3.738358312,1014.053939,94.16025422,30.02566966,28.36263693
2015,11,0.897594042,1014.426476,92.7098439,30.65047557,29.96079565
2015,12,0.080829766,1017.0408,89.18190748,29.35580098,26.45950356
2016,1,0.587517155,1016.723748,91.0365693,28.49004449,22.63151559
2016,2,0.20519447,1018.992605,82.78909546,28.13393688,25.29768155
2016,3,2.281884464,1013.882796,77.20141354,32.06190008,26.09120408
2016,4,3.003444657,1009.779293,77.00753075,34.65190333,28.47426331
2016,5,6.949883315,1009.149868,89.20715152,32.88359697,30.28181801
2016,6,9.76244506,1008.677591,92.71415101,31.45241802,27.50283477
2016,7,12.0157031,1008.264002,94.51975895,30.64696641,27.003841
2016,8,7.703043384,1006.14286,93.43386381,30.72634824,26.82182827
2016,9,9.633151675,1008.75263,95.78100527,30.02611835,28.27764027
2016,10,3.25895263,1010.257457,94.37381557,30.43591538,26.76262281
2016,11,1.052210235,1013.948896,92.09980639,29.60103485,24.94980783
2016,12,0.114469647,1015.87108,88.80234487,28.10257981,23.08366343
2017,1,0.077753678,1015.681249,87.03452248,28.85575579,23.95816625
2017,2,0.27344323,1016.572802,85.48563238,29.24258214,22.44422436
2017,3,4.193136199,1012.959124,89.16761992,30.87636146,26.01518855
2017,4,1.751069486,1011.824596,87.87925234,32.0639594,27.28932137
2017,5,9.908210124,1009.889568,92.82982429,31.31883786,26.92162007
2017,6,8.641310134,1008.028747,93.49779741,31.10286528,26.55063517
2017,7,17.32368745,1007.353339,95.48269082,29.83728632,25.7977255
2017,8,8.068774659,1007.813976,94.68668226,30.6505556,26.94523905
2017,9,7.634263387,1009.763732,95.80581524,30.77184585,29.12295414
2017,10,4.852471036,1012.060422,92.86934644,29.9586632,25.36718168
2017,11,0.19099458,1013.577744,87.6450355,29.21799682,24.14277557
2017,12,0.223416708,1016.983422,88.37150771,27.18709241,23.94452888
2018,1,0.092050464,1014.304335,88.87504321,28.1904081,25.31966665
2018,2,1.048377799,1016.39331,85.93398444,28.15018475,24.36337064
2018,3,1.385141329,1013.168337,87.44005888,30.39811117,25.9273129
2018,4,3.203955944,1012.097147,87.86166933,31.54379996,26.67451563
2018,5,6.210007576,1010.754614,93.84830927,31.57959149,26.78959594
2018,6,7.331779868,1007.464554,92.60454085,31.21563531,26.31579108
2018,7,13.12871742,1005.157851,93.48596698,29.82648843,26.00667151
2018,8,7.421788667,1006.039979,93.68226187,29.63406417,27.10779424
2018,9,6.221585372,1009.98722,94.82968727,30.85226485,28.60063527
